proteins.txt,4952 ms
proteins.txt,5524.5 ms
proteins.txt,5518 ms
proteins.txt,5524.5 ms
proteins.txt,5518 ms
proteins.txt,5524.5 ms
proteins.txt,5564 ms
proteins.txt,5524.5 ms
proteins.txt,5551 ms
proteins.txt,5524.5 ms
proteins.txt,5514 ms
proteins.txt,5524.5 ms
proteins.txt,5913 ms
proteins.txt,5524.5 ms
proteins.txt,5514 ms
proteins.txt,5524.5 ms
proteins.txt,5520 ms
proteins.txt,5524.5 ms
proteins.txt,5552 ms
proteins.txt,5524.5 ms
proteins.txt,5514 ms
proteins.txt,5524.5 ms
proteins.txt,5508 ms
proteins.txt,5524.5 ms
proteins.txt,5505 ms
proteins.txt,5524.5 ms
proteins.txt,5515 ms
proteins.txt,5524.5 ms
proteins.txt,5670 ms
proteins.txt,5524.5 ms
proteins.txt,5521 ms
proteins.txt,5524.5 ms
proteins.txt,5535 ms
proteins.txt,5524.5 ms
proteins.txt,5555 ms
proteins.txt,5524.5 ms
proteins.txt,5524 ms
proteins.txt,5524.5 ms
proteins.txt,5527 ms
proteins.txt,5524.5 ms
proteins.txt,4478 ms
proteins.txt,5556 ms
proteins.txt,5512 ms
proteins.txt,5592 ms
proteins.txt,5514 ms
proteins.txt,5518 ms
proteins.txt,5517 ms
proteins.txt,5891 ms
proteins.txt,5518 ms
proteins.txt,5533 ms
proteins.txt,5531 ms
proteins.txt,5507 ms
proteins.txt,5524 ms
proteins.txt,5576 ms
proteins.txt,5514 ms
proteins.txt,6112 ms
proteins.txt,5530 ms
proteins.txt,5520 ms
proteins.txt,5571 ms
proteins.txt,5524 ms
proteins.txt,5526.9 ms
